SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date
BALAJITELE,EQ,89,10-Feb-22,50.25,20-Apr-21
BALAMINES,EQ,5223.55,15-Sep-21,1555,19-Mar-21
BALAXI,EQ,747,27-May-21,341.65,24-Feb-22
BALKRISHNA,BE,58.1,08-Feb-22,17.1,02-Jul-21
BALKRISIND,EQ,2723.8,23-Sep-21,1530.05,19-Mar-21
BALLARPUR,BZ,2.7,03-Jan-22,1,18-Nov-21
BALMLAWRIE,EQ,169.75,09-Mar-21,112,24-Feb-22
BALPHARMA,EQ,148.85,20-Jan-22,51.6,19-Mar-21
BALRAMCHIN,EQ,459.85,20-Jan-22,190.15,19-Mar-21
BANARBEADS,EQ,113.65,11-Feb-22,43.95,25-Mar-21
BANARISUG,EQ,3048.7,17-Jan-22,1505,30-Mar-21
BANCOINDIA,EQ,225.1,02-Sep-21,133.15,07-Mar-22
BANDHANBNK,EQ,371,24-Mar-21,229.55,27-Dec-21
BANG,EQ,53.8,14-Jul-21,24.2,19-Apr-21
BANKA,BE,102.15,03-Sep-21,55.6,30-Mar-21
BANKBARODA,EQ,118.8,09-Feb-22,61.75,22-Apr-21
BANKBEES,EQ,434.88,25-Oct-21,306.68,19-Apr-21
BANKINDIA,EQ,87,07-Jun-21,43.15,24-Feb-22
BANSWRAS,EQ,319,20-Jan-22,86.25,19-Apr-21
BARBEQUE,EQ,1945.95,09-Nov-21,481.85,07-Apr-21
BARTRONICS,BZ,10.95,05-Jan-22,2.05,23-Apr-21
BASF,EQ,3930,11-Aug-21,1922.25,12-Apr-21
BASML,EQ,100.6,17-Jan-22,37.35,15-Mar-21
BATAINDIA,EQ,2262,16-Nov-21,1263.6,19-Apr-21
BAYERCROP,EQ,6130,13-Aug-21,4218.05,24-Feb-22
BBETF0432,EQ,1008,22-Feb-22,994.99,04-Feb-22
BBL,EQ,2169.95,01-Feb-22,1065,19-Apr-21
BBOX,EQ,1070,04-Jan-22,750.3,08-Mar-22
BBTC,EQ,1424.95,15-Jun-21,859.55,07-Mar-22
BCG,EQ,204.8,24-Dec-21,5.8,05-May-21
BCLIND,BE,512,01-Feb-22,98,05-Apr-21
BCONCEPTS,EQ,82.15,24-Jan-22,53.25,13-Jan-22
BCP,BE,8.9,12-Jan-22,2.85,30-Mar-21
BDL,EQ,536.3,03-Feb-22,321.1,19-Apr-21
BEARDSELL,EQ,23.45,10-Feb-22,7.48,13-Apr-21
BECTORFOOD,EQ,464.1,23-Jul-21,290,24-Feb-22
BEDMUTHA,EQ,93.95,07-Feb-22,19.95,31-Mar-21
BEL,EQ,228,12-Nov-21,115.85,25-Mar-21
BEML,EQ,2085,07-Dec-21,1119,23-Apr-21
BEPL,EQ,222.5,13-Oct-21,122.25,07-Mar-22
BERGEPAINT,EQ,872.95,22-Jul-21,620.45,08-Mar-22
BESTAGRO,EQ,1407.8,02-Nov-21,202.35,19-May-21
BFINVEST,EQ,445,19-Jul-21,255.8,24-Feb-22
BFUTILITIE,EQ,539,19-Jul-21,227.1,23-Apr-21
BGRENERGY,EQ,124.2,10-Jan-22,41,09-Apr-21
BHAGCHEM,EQ,1130,07-Feb-22,719.15,21-Oct-21
BHAGERIA,EQ,329,06-Oct-21,136.3,12-Apr-21
BHAGYANGR,EQ,65,13-Aug-21,38.45,11-Aug-21
BHAGYAPROP,EQ,38.75,29-Dec-21,25.5,05-May-21
BHANDARI,BE,14.7,12-Jan-22,2,19-Apr-21
BHARATFORG,EQ,847.95,10-Nov-21,555.75,19-Apr-21
BHARATGEAR,EQ,190.2,02-Nov-21,68.16,19-Apr-21
BHARATRAS,EQ,15131.7,30-Jun-21,9255,26-Mar-21
BHARATWIRE,EQ,87,07-Feb-22,33.15,26-Mar-21
BHARTIARTL,EQ,781.8,24-Nov-21,494.6,25-Mar-21
BHEL,EQ,80.35,13-Oct-21,43,19-Apr-21
BIGBLOC,EQ,90.8,04-Feb-22,15.62,05-May-21
BIL,EQ,384,29-Dec-21,145,19-Mar-21
BINDALAGRO,EQ,36.4,30-Dec-21,15.8,25-Mar-21
BIOCON,EQ,424.4,09-Apr-21,314.8,25-Oct-21
BIOFILCHEM,EQ,107,12-Jan-22,54.45,22-Nov-21
BIRLACABLE,EQ,154.8,28-Feb-22,54,19-Apr-21
BIRLACORPN,EQ,1650,09-Nov-21,751.65,19-Mar-21
BIRLAMONEY,EQ,88.8,15-Jul-21,39.2,20-Apr-21
BIRLATYRE,EQ,31.95,29-Jun-21,20,24-Feb-22
BKMINDST,BZ,4.7,20-Jan-22,0.8,01-Apr-21
BLBLIMITED,BE,31.95,12-Jan-22,5.35,20-Apr-21
BLISSGVS,EQ,173.9,09-Mar-21,67.5,28-Feb-22
BLKASHYAP,EQ,33,08-Oct-21,13.5,22-Apr-21
BLS,EQ,309,17-Sep-21,83,19-Apr-21
BLUECOAST,BE,7.3,06-Dec-21,4.55,05-Jul-21
BLUEDART,EQ,7500,13-Jan-22,4825,25-Mar-21
BLUESTARCO,EQ,1134,17-Feb-22,758,30-Aug-21
BODALCHEM,EQ,149.95,05-Oct-21,86,25-Mar-21
BOMDYEING,EQ,129.8,07-Feb-22,64.15,22-Apr-21
BOROLTD,BE,498.7,17-Dec-21,158,19-Mar-21
BORORENEW,EQ,747.9,17-Dec-21,213.25,19-Apr-21
BOSCHLTD,EQ,19250,10-Nov-21,13225,05-May-21
BPCL,EQ,503,14-Sep-21,331.1,24-Feb-22
BPL,EQ,176.65,12-Oct-21,21.2,08-Apr-21
BRFL,EQ,13.4,23-Jun-21,5.6,01-Dec-21
BRIGADE,EQ,540,02-Feb-22,233.05,23-Apr-21
BRITANNIA,EQ,4153,14-Sep-21,3050,08-Mar-22
BRNL,BE,59.45,04-Feb-22,25.75,19-Apr-21
BROOKS,EQ,154.4,16-Sep-21,49.8,25-Mar-21
BSE,EQ,2373.7,15-Dec-21,535.5,25-Mar-21
BSHSL,EQ,484,08-Feb-22,128.15,23-Mar-21
BSL,EQ,135.55,16-Dec-21,31,01-Apr-21
BSLGOLDETF,EQ,4729.1,25-Oct-21,42.7,30-Nov-21
BSLNIFTY,EQ,214.2,14-Oct-21,17.5,09-Mar-22
BSLSENETFG,EQ,664.99,06-Oct-21,43.65,09-Mar-22
BSOFT,EQ,585.85,10-Jan-22,215.9,21-May-21
BURNPUR,BE,8.5,11-Feb-22,2,23-Jul-21
BUTTERFLY,EQ,1419.5,23-Feb-22,476.05,05-Apr-21
BVCL,BE,31.55,10-Aug-21,15.75,20-Apr-21
BYKE,EQ,43.45,08-Oct-21,16.4,12-Apr-21
CALSOFT,EQ,52.5,30-Dec-21,7.4,07-May-21
CAMLINFINE,EQ,230.8,19-Jul-21,116.1,29-Dec-21
CAMS,EQ,4067.4,01-Sep-21,1741.5,26-Mar-21
CANBK,EQ,272.8,03-Feb-22,124.3,19-Apr-21
CANDC,BZ,8.85,13-Jan-22,2.65,02-Sep-21
CANFINHOME,EQ,722,18-Oct-21,489.2,19-Apr-21
CANTABIL,EQ,950,07-Feb-22,355,27-Aug-21
CAPACITE,EQ,252,02-Aug-21,113.6,25-Feb-22
CAPLIPOINT,EQ,1034.8,27-Jul-21,401,31-Mar-21
CAPTRUST,EQ,149,17-Jan-22,71.05,19-Apr-21
CARBORUNIV,EQ,1035,03-Jan-22,438.95,25-Mar-21
CAREERP,EQ,184.5,29-Jul-21,102.25,24-Feb-22
CARERATING,EQ,791,02-Jul-21,407.2,31-Mar-21
CARTRADE,EQ,1618,20-Aug-21,460,24-Feb-22
CASTROLIND,EQ,154.9,07-Jun-21,104.5,24-Feb-22
CCCL,BE,4.25,11-Feb-22,0.25,12-May-21
CCHHL,BE,10.6,17-Dec-21,3.25,26-Apr-21
CCL,EQ,514.95,02-Feb-22,226.35,05-Apr-21
CDSL,EQ,1734.4,15-Dec-21,565.5,15-Mar-21
CEATLTD,EQ,1632.8,12-Mar-21,936.05,24-Feb-22
CEBBCO,EQ,59.35,18-Jan-22,14.55,30-Mar-21
CELEBRITY,BE,22.15,11-Jan-22,5.1,22-Apr-21
CENTENKA,EQ,637,07-Feb-22,227.3,25-Mar-21
CENTEXT,EQ,15.55,04-Jan-22,3.8,26-Mar-21
CENTRALBK,EQ,29.65,30-Jun-21,15.8,22-Apr-21
CENTRUM,EQ,58.5,21-Jun-21,21.95,23-Apr-21
CENTUM,EQ,659.9,05-Jan-22,356.55,27-Apr-21
CENTURYPLY,EQ,712.9,17-Nov-21,283.65,19-Mar-21
CENTURYTEX,EQ,1024,12-Jan-22,432.8,23-Apr-21
CERA,EQ,6450,19-Oct-21,3601,25-Mar-21
CEREBRAINT,EQ,96.25,11-Jan-22,47.9,25-Mar-21
CESC,EQ,102.45,19-Oct-21,5.77,22-Apr-21
CGCL,EQ,629.5,02-Feb-22,338.4,19-Mar-21
CGPOWER,EQ,208.9,05-Jan-22,54.7,19-Mar-21
CHALET,EQ,302,21-Feb-22,122.65,19-Apr-21
CHAMBLFERT,EQ,484.95,20-Jan-22,207,19-Mar-21
CHEMBOND,EQ,287.3,07-Oct-21,165.8,24-Feb-22
CHEMCON,EQ,569.4,03-Aug-21,261,04-Mar-22
CHEMFAB,EQ,239,03-Feb-22,120.85,19-Mar-21
CHEMPLASTS,EQ,826,11-Oct-21,444.25,24-Feb-22
CHENNPETRO,EQ,151.8,30-Jun-21,93,13-Apr-21
CHOLAFIN,EQ,703.9,23-Feb-22,469.25,20-Dec-21
CHOLAHLDNG,EQ,762.3,12-Oct-21,541.55,19-Apr-21
CIGNITITEC,EQ,678,02-Jul-21,310.25,19-Mar-21
CINELINE,EQ,131.7,19-Oct-21,28.45,22-Apr-21
CINEVISTA,EQ,24.25,29-Nov-21,5.55,24-Mar-21
CIPLA,EQ,1005,29-Sep-21,738.1,19-Mar-21
CLEAN,EQ,2705,05-Jan-22,1422.1,26-Aug-21
CLEDUCATE,EQ,137.95,21-Feb-22,33.18,09-Mar-21
CLNINDIA,EQ,643,06-Oct-21,364.8,19-Mar-21
CLSEL,EQ,155,13-Jul-21,83.1,24-Feb-22
CMICABLES,BE,70.5,09-Aug-21,34.9,08-Dec-21
CMSINFO,EQ,317.45,17-Jan-22,215.1,31-Dec-21
COALINDIA,EQ,203.8,06-Oct-21,123.4,19-Apr-21
COASTCORP,EQ,564.5,18-Jan-22,237.75,29-Nov-21
COCHINSHIP,EQ,433.9,16-Jun-21,280.75,08-Mar-22
COFFEEDAY,EQ,86.8,21-Jan-22,20.2,24-May-21
COFORGE,EQ,6135,04-Jan-22,2495.1,09-Mar-21
COLPAL,EQ,1823.4,26-Jul-21,1375.6,25-Jan-22
COMPINFO,EQ,47.15,07-Jan-22,14.4,15-Apr-21
COMPUSOFT,BE,41.25,12-Jan-22,7.85,30-Mar-21
CONCOR,EQ,754.4,13-Sep-21,527.9,18-Mar-21
CONFIPET,EQ,95.4,22-Oct-21,37.1,19-Mar-21
CONSOFINVT,EQ,242,15-Feb-22,47.25,25-Mar-21
CONTROLPR,EQ,445,20-Jan-22,226.05,09-Mar-21
CORALFINAC,EQ,58.75,15-Jul-21,19.7,12-Apr-21
CORDSCABLE,EQ,83.55,25-Jun-21,38.35,19-Apr-21
COROMANDEL,EQ,956,25-Jun-21,709.35,20-Dec-21
COSMOFILMS,EQ,1889,21-Jan-22,563,19-Mar-21
COUNCODOS,BE,8.55,13-Jan-22,1.85,19-Mar-21
CPSEETF,EQ,35.1,10-Jan-22,21.1,13-Apr-21
CRAFTSMAN,EQ,2778,01-Nov-21,1245,22-Apr-21
CREATIVE,EQ,743.95,20-Jan-22,83.9,20-May-21
CREDITACC,EQ,808.4,15-Jun-21,494.7,01-Dec-21
CREST,BE,198.8,23-Feb-22,72.15,19-Apr-21
CRISIL,EQ,3498,17-Nov-21,1741,06-Apr-21
CROMPTON,EQ,512.8,16-Sep-21,350.35,23-Apr-21
CROWN,EQ,38.65,10-Feb-22,21.7,28-Feb-22
CSBBANK,EQ,374,05-Jul-21,201,07-Mar-22
CTE,BE,117.4,21-Jan-22,24.65,22-Apr-21
CUB,EQ,183.95,26-Oct-21,109,07-Mar-22
CUBEXTUB,EQ,39,12-Jan-22,16.6,13-Apr-21
CUMMINSIND,EQ,1064.45,07-Sep-21,747,27-May-21
CUPID,EQ,272.35,19-Jul-21,191.25,24-Feb-22
CYBERMEDIA,BE,40.15,09-Mar-22,8.45,31-Mar-21
CYBERTECH,EQ,245.35,17-Jan-22,113.1,25-Mar-21
CYIENT,EQ,1292,19-Oct-21,621.25,30-Mar-21
DAAWAT,EQ,90.5,24-May-21,54,19-Mar-21
DABUR,EQ,658.95,24-Sep-21,502,07-Mar-22
DALBHARAT,EQ,2548.4,14-Sep-21,1278.15,08-Mar-22
DALMIASUG,EQ,516.55,02-Aug-21,155.5,19-Mar-21
DAMODARIND,EQ,78.6,08-Feb-22,21.1,26-Mar-21
DANGEE,EQ,256,28-Feb-22,128,19-Mar-21
DATAMATICS,EQ,382.4,12-Oct-21,108.5,19-Apr-21
DATAPATTNS,EQ,864,24-Dec-21,575,24-Feb-22
DBCORP,EQ,125,09-Jun-21,75.6,23-Apr-21
DBL,EQ,749.8,13-Oct-21,238.05,24-Feb-22
DBREALTY,BE,134.05,14-Feb-22,16.75,28-Apr-21
DBSTOCKBRO,BE,49.2,12-Jan-22,7.5,27-Apr-21
DCAL,EQ,259.7,07-Oct-21,102.5,25-Mar-21
DCBBANK,EQ,117.6,10-Mar-21,67.85,24-Feb-22
